name,supplier,category,date,price,notes,waspaid
קרח,אייס קיובס,קרח,27/04/2022,360,30 שקים,TRUE
שיווק דיגיטלי,סער ברעם,פרסום,29/04/2022,2100,עבור מאי,TRUE
קמפיין גוגל,גוגל,פרסום,01/05/2022,983,אפריל,TRUE
פוררים,אלי אקספרס,לוגיסטיקה,01/05/2022,91,,TRUE
מלאי כוסות וציוד לבר החדש,אולסייטל טריידינג,כוסות,02/05/2022,1203,,TRUE
פלסטיק,מר פלסטיק,לוגיסטיקה,02/05/2022,1474,צ'ייסרים וכוסות לונג,TRUE
מלאי,שימורי איכות,מלאי,02/05/2022,564,,TRUE
מלאי,היבואן,מלאי,02/05/2022,3265,,TRUE
תדלוק,נחלים,דלק,03/05/2022,400,רכב של יהודית,TRUE
ראיית חשבון,עידו עמרם,מנהלי,04/05/2022,1345,מרץ אפריל,TRUE
פנסיה לעובדים,אינפיניטי,ערייה וממשלה,08/05/2022,1236,מרץ אפריל,TRUE
ביטוח לאומי מעסיקים,ביטוח לאומי,ערייה וממשלה,08/05/2022,202,עבור אפריל,TRUE
צנצנות זכוכית,הסטוק,לוגיסטיקה,08/05/2022,77,,TRUE
מגשי טפטוף,עובדיה אייל,לוגיסטיקה,12/05/2022,2282,מספר הזמנה 84803,TRUE
תעודת כשרות,צהר,מנהלי,15/05/2022,702,אפריל,TRUE
מיץ לימון,סחוטים,מיץ לימון,16/05/2022,234,,TRUE
מדפים,אלון עמי,לוגיסטיקה,16/05/2022,1638,,TRUE
דיספליי,טייק איט,לוגיסטיקה,16/05/2022,854,,TRUE
מתקן שתייה,מיסטרל,לוגיסטיקה,17/05/2022,295,,TRUE
אגבה,טבע קסטל,מזון ומשקאות,17/05/2022,108,,TRUE
ציוד למחסן,הכל בדולר,לוגיסטיקה,17/05/2022,150,,TRUE
תדלוק,ביילסול,דלק,18/05/2022,250,רכב של יהודית,TRUE
קמפיין גוגל,גוגל,פרסום,18/05/2022,1500,אפריל - סער,TRUE
קרח,אייס קיובס,קרח,18/05/2022,240,20 שקים,TRUE
שכירות,אלי גלעד,שכירות,19/05/2022,4680,מאי,TRUE
מלאי,היבואן,מלאי,19/05/2022,3025,,TRUE
תדלוק,פז,דלק,22/05/2022,300,רכב של יהודית,TRUE
תדלוק,ביילסול,דלק,23/05/2022,150,רכב של אור,TRUE
מלאי,אליאסי,מלאי,23/05/2022,270,,TRUE
תדלוק,פז,דלק,24/05/2022,150,רכב של אמא,TRUE
תדלוק,ביילסול,דלק,24/05/2022,200,רכב של יהודית,TRUE
מיץ לימון,סחוטים,מיץ לימון,24/05/2022,234,,TRUE
קרח,אייס קיובס,קרח,24/05/2022,648,57 שקים,TRUE
מלאי,אקרמן,מלאי,24/05/2022,2451,,TRUE
שכפול מפתח,פאר המנעולים,לוגיסטיקה,26/05/2022,25,,TRUE
מנעול למחסן,הספקה לתעשייה,לוגיסטיקה,26/05/2022,60,,TRUE
תדלוק,סונול,דלק,26/05/2022,300,רכב של יהודית,TRUE
מלאי,היבואן,מלאי,26/05/2022,1749,,TRUE
מלאי,שימורי איכות,מלאי,26/05/2022,750,,TRUE
מלאי,היבואן,מלאי,26/05/2022,3210,,TRUE
תדלוק,ביילסול,דלק,28/05/2022,300,רכב של יהודית,TRUE
שיווק דיגיטלי,סער ברעם,פרסום,29/05/2022,2106,עבור יוני,TRUE
מיץ לימון,סחוטים,מיץ לימון,30/05/2022,175,,TRUE
מבנה בר,אחים אקהיס,לוגיסטיקה,30/05/2022,24570,,TRUE
מלאי,היבואן,מלאי,31/05/2022,483,,TRUE
קמפיין גוגל,גוגל,פרסום,01/06/2022,607,מאי,TRUE
קמפיין גוגל,גוגל,פרסום,02/06/2022,975,מאי - סער,TRUE
מלאי חירום,פז עין ורד,מלאי חירום,05/06/2022,467,אירוע 162,TRUE
תדלוק,פז עין ורד,דלק,06/06/2022,300,רכב של יהודית,TRUE
שכירות,אלי גלעד,שכירות,06/06/2022,4680,יוני,TRUE
פנסיה לעובדים,אינפיניטי,ערייה וממשלה,07/06/2022,1040,מאי,TRUE
קרח,אייס קיובס,קרח,07/06/2022,444,37,TRUE
פירות קפואים,פרי הבוסתן,מזון ומשקאות,09/06/2022,353,,TRUE
ביטוח לאומי מעסיקים,ביטוח לאומי,ערייה וממשלה,10/06/2022,1262,עבור מאי,TRUE
מלאי כוסות,ארגל,כוסות,12/06/2022,167,קופ,TRUE
מלאי כוסות,אולסייטל טריידינג,כוסות,12/06/2022,687,סניפטר + לואו בול,TRUE
מיץ לימון,סחוטים,מיץ לימון,14/06/2022,234,,TRUE
סירופ אגבה,טיב טעם יהוד,מזון ומשקאות,15/06/2022,132,,TRUE
תעודת כשרות,צהר,מנהלי,15/06/2022,702,מאי,TRUE
מלאי,היבואן,מלאי,15/06/2022,3797,,TRUE
מלאי,שימורי איכות,מלאי,15/06/2022,1822,,TRUE
תדלוק,סונול צומת רעננה,דלק,16/06/2022,240,רכב של יהודית,TRUE
תדלוק,אלון זכרון,דלק,16/06/2022,240,רכב של יהודית,TRUE
תדלוק,פז שער הגיא,דלק,23/06/2022,100,רכב של אסף,TRUE
מזון אירוע,מנטה אריה שנקר,מזון ומשקאות,23/06/2022,32,מים,TRUE
מסגרות,הכל בדולר,לוגיסטיקה,23/06/2022,45,,TRUE
קמפיין גוגל,גוגל,פרסום,27/06/2022,2184,יוני,TRUE
ציוד למחסן,הספקה לתעשייה,לוגיסטיקה,28/06/2022,14,ברגים וזווית לספידים,TRUE
שיווק דיגיטלי,סער ברעם,פרסום,29/06/2022,2106,עבור יולי,TRUE
קמפיין גוגל,גוגל,פרסום,01/07/2022,378,יתרה מיוני,TRUE
פולי קפה,אדר פתרונות קפה,מזון ומשקאות,05/07/2022,82,,TRUE
נוק בוקס,אדר פתרונות קפה,לוגיסטיקה,05/07/2022,152,,TRUE
מלאי,שימורי איכות,מלאי,05/07/2022,706,,TRUE
מלאי,היבואן,מלאי,05/07/2022,1759,,TRUE
שכירות,אלי גלעד,שכירות,06/07/2022,4680,יולי,TRUE
פנסיה לעובדים,אינפיניטי,ערייה וממשלה,11/07/2022,943.75,יוני,TRUE
פנסיה לעובדים,אינפיניטי,ערייה וממשלה,11/07/2022,943.75,יוני,TRUE
ביטוח לאומי מעסיקים,ביטוח לאומי,ערייה וממשלה,14/07/2022,821,עבור חודש יוני,TRUE
ביטוח לאומי מעסיקים,ביטוח לאומי,ערייה וממשלה,14/07/2022,293,עבור חודש יולי,TRUE
קרח,אייס קיובס,קרח,14/07/2022,384,32,TRUE
תעודת כשרות,צהר,מנהלי,15/07/2022,702,יוני,TRUE
ראיית חשבון,עידו עמרם,מנהלי,25/07/2022,1462,מאי יוני,TRUE
קמפיין גוגל,גוגל,פרסום,27/07/2022,2500,חיוב יולי,TRUE
שיווק דיגיטלי,סער ברעם,פרסום,29/07/2022,2106,עבור אוגוסט,TRUE
קמפיין גוגל,גוגל,פרסום,01/08/2022,386,חיוב יתרה,TRUE
מלאי,ארקמן,מלאי,05/08/2022,2281,,TRUE
יום טעימות,אלונית מתנח יבנה,מזון ומשקאות,06/08/2022,56,יום טעימות שהתבטל,TRUE
שכירות,אלי גלעד,שכירות,06/08/2022,4680,ארוגוסט,TRUE
מלאי מהיבואן,היבואן,מלאי מהיבואן,09/08/2022,660,,TRUE
פנסיה לעובדים,אינפיניטי,ערייה וממשלה,10/08/2022,348,יולי,TRUE
קניות לבישולים,אושר עד,מזון ומשקאות,11/08/2022,72,,TRUE
ברגים לבר,הספקה לתעשייה,לוגיסטיקה,21/08/2022,15,,TRUE
כוסות מולקולריות,סרחיו,כוסות,21/08/2022,78,,TRUE
ראצ'ט,הספקה לתעשייה,לוגיסטיקה,21/08/2022,24,,TRUE
מלאי,החברה המרכזית,מלאי,21/08/2022,866,,TRUE
מאוור,ksp,לוגיסטיקה,22/08/2022,194,,TRUE
תדלוק,ביילסול,דלק,24/08/2022,200,רכב של יהודית,TRUE
ברנר,אם די וי טרייד,לוגיסטיקה,24/08/2022,82,,TRUE
תיקון לעגלה,ציקי נגררים,לוגיסטיקה,24/08/2022,410,,TRUE
תיקון לעגלה,מכון רישוי אדיר,לוגיסטיקה,24/08/2022,135,,TRUE
מלאי,טמפו,מלאי,25/08/2022,1771,,TRUE
מלאי,שימורי איכות,מלאי,25/08/2022,408,,TRUE
מלאי מהיבואן,היבואן,מלאי מהיבואן,25/08/2022,816,,TRUE
קמפיין גוגל,גוגל,פרסום,28/08/2022,2500,אוגוסט,TRUE
מיץ לימון,סחוטים,מיץ לימון,01/09/2022,234,,TRUE
תעודת כשרות,צהר,מנהלי,05/09/2022,702,יולי,TRUE
מיץ לימון,סחוטים,מיץ לימון,05/09/2022,234,,TRUE
ראיית חשבון,עידו עמרם,מנהלי,05/09/2022,1170,יולי אוגוסט,TRUE
ביטוח לאומי מעסיקים,ביטוח לאומי,ערייה וממשלה,06/09/2022,42,עבור חודש אוגוסט,TRUE
שכירות,אלי גלעד,שכירות,06/09/2022,4680,ספטמבר,TRUE
פולי קפה,אדר פתרונות קפה,מזון ומשקאות,07/09/2022,82,,TRUE
פירות קפואים,פרי הבוסתן,מזון ומשקאות,07/09/2022,200,,TRUE
מלאי,היבואן,מלאי,07/09/2022,1006,,TRUE
מלאי,שימורי איכות,מלאי,07/09/2022,1061,,TRUE
קופסאות פלסטיק,הכל בדולר,לוגיסטיקה,08/09/2022,50,,TRUE
מלאי כוסות,אולסייל טריידינג,כוסות,08/09/2022,1119,,TRUE
קמפיין פייסבוק,פייסבוק,פרסום,09/09/2022,161,ספטמבר,TRUE
תדלוק,ביילסול,דלק,11/09/2022,200,רכב של יהודית,TRUE
מיץ לימון,סחוטים,מיץ לימון,13/09/2022,234,,TRUE
מלאי,שימורי איכות,מלאי,13/09/2022,571,,TRUE
מלאי,היבואן,מלאי,13/09/2022,3130,,TRUE
תדלוק,ביילסול,דלק,15/09/2022,200,רכב של אמא,TRUE
תדלוק,ביילסול,דלק,15/09/2022,200,רכב של יהודית,TRUE
פנסיה לעובדים,אינפיניטי,ערייה וממשלה,15/09/2022,107,אוגוסט,TRUE
קמפיין גוגל,גוגל,פרסום,19/09/2022,275,ספטמבר,TRUE
קמפיין גוגל,גוגל,פרסום,19/09/2022,954,ספטמבר,TRUE
מלאי,יין בעיר כפר שמריהו,מלאי,20/09/2022,452,,TRUE
מיץ לימון,סחוטים,מיץ לימון,22/09/2022,234,,TRUE
תדלוק,ביילסול,דלק,22/09/2022,120,רכב של אמא,TRUE
מלאי,היבואן,מלאי,22/09/2022,2021,,TRUE
תדלוק,ביילסול,דלק,23/09/2022,250,רכב של יהודית,TRUE
קרח,אייס קיובס,קרח,23/09/2022,1400,עבור 4 מילויים,TRUE
קופסאות פלסטיק,הכל בדולר,לוגיסטיקה,28/09/2022,15,,TRUE
קמפיין פייסבוק,פייסבוק,פרסום,28/09/2022,1000,ספטמבר,TRUE
סירופ אגבה,טיב טעם יהוד,מזון ומשקאות,28/09/2022,256,,TRUE
ברגים לבר,הספקה לתעשייה,לוגיסטיקה,29/09/2022,27,,TRUE
מלאי,אליאסי,מלאי,29/09/2022,734,,TRUE
קמפיין גוגל,גוגל,פרסום,01/10/2022,659,עבור ספטמבר,TRUE
דוח חניה,עריית זכרון יעקוב,ערייה וממשלה,01/10/2022,100,דוח שקיבלנו ב14/07/2022,TRUE
קשים במבוק,אניס,לוגיסטיקה,03/10/2022,119,,TRUE
אביזרים לקפה,אדר פתרונות קפה,לוגיסטיקה,03/10/2022,80,,TRUE
מלאי,היבואן,מלאי,03/10/2022,2723,,TRUE
תדלוק,ביילסול,דלק,06/10/2022,200,רכב של יהודית,TRUE
שכירות,אלי גלעד,שכירות,06/10/2022,4680,אוקטובר,TRUE
מלאי,היבואן,מלאי,06/10/2022,1179,,TRUE
קמפיין פייסבוק,פייסבוק,פרסום,09/10/2022,500,ספטמבר,TRUE
פנסיה לעובדים,אינפיניטי,ערייה וממשלה,11/10/2022,1170,ספטמבר,TRUE
פנסיה לעובדים,כלל,ערייה וממשלה,11/10/2022,618,ספטמבר,TRUE
מלאי,אושר עד בני ברק,מלאי,11/10/2022,322,,TRUE
ביטוח לאומי מעסיקים,ביטוח לאומי,ערייה וממשלה,12/10/2022,1267,עבור חודש ספטמבר,TRUE
מלאי,גרעיני פולה אשדוד,מלאי,13/10/2022,163,ערק ויין אדום,TRUE
כף לקרח,אקוויפ,לוגיסטיקה,18/10/2022,59,,TRUE
תפוז מיובש,סופר איראן,מזון ומשקאות,18/10/2022,120,,TRUE
מיץ לימון,סחוטים,מיץ לימון,18/10/2022,234,,TRUE
מלאי,היבואן,מלאי,18/10/2022,3203,,TRUE
מלאי,שימורי איכות,מלאי,18/10/2022,541,,TRUE
כפפות,הספקה לתעשייה,לוגיסטיקה,20/10/2022,35,,TRUE
טסט לעגלה,מכון רישוי אדיר,לוגיסטיקה,23/10/2022,65,,TRUE
תדלוק,ביילסול,דלק,28/10/2022,300,רכב של יהודית,TRUE
מלאי,היבואן,מלאי,31/10/2022,1645,,TRUE
קמפיין גוגל,גוגל,פרסום,01/11/2022,1742,אוקטובר,TRUE
מיץ לימון,סחוטים,מיץ לימון,03/11/2022,234,,TRUE
תדלוק,ביילסול,דלק,04/11/2022,200,רכב של יהודית,TRUE
קרח,אייס קיובס,קרח,05/11/2022,432,36 שקיות,TRUE
ביטוח לעסק,הפניקס אלמנטרי,מנהלי,06/11/2022,1214,תשלום 1/4,TRUE
שכירות,אלי גלעד,שכירות,06/11/2022,4680,נובמבר,TRUE
ביטוח לאומי מעסיקים,ביטוח לאומי,ערייה וממשלה,09/11/2022,473,עבור חודש אוקטובר,TRUE
פנסיה לעובדים,אינפיניטי,ערייה וממשלה,09/11/2022,892,אוקטובר,TRUE
קמפיין פייסבוק,פייסבוק,פרסום,10/11/2022,932,ספטמבר,TRUE
ברנר,הבית שלך,לוגיסטיקה,16/11/2022,70,שולם מאסף,TRUE
ראיית חשבון,עידו עמרם,מנהלי,21/11/2022,1287,ספטמבר אוקטובר,TRUE
ציוד משרדי,הכל בדולר,לוגיסטיקה,24/11/2022,90,,TRUE
קמפיין פייסבוק,פייסבוק,פרסום,28/11/2022,1000,ספטמבר,TRUE
מיץ לימון,סחוטים,מיץ לימון,28/11/2022,234,,TRUE
מלאי,שימורי איכות,מלאי,29/11/2022,651,,TRUE
מלאי,היבואן,מלאי,29/11/2022,1285,,TRUE
מלאי,אליאסי,מלאי,29/11/2022,220,קמפרי,TRUE
קמפיין גוגל,גוגל,פרסום,01/12/2022,1810,נובמבר,TRUE
